Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
es ESP,Luis Rioja,"MF,FW",Valencia,2831,31.5,5,3,3.3,4.5,93,103,228,28,12,67.7,35,60,33,21,22,55,44,1505,43,47.3,816,1031,18
es ESP,Rodrigo Riquelme,"MF,DF",Atlético Madrid,516,5.7,0,1,0.9,0.8,43,24,62,14,4,78.1,15,12,11,5,2,13,3,354,6,25.0,246,259,8
es ESP,Alberto Risco,"MF,FW",Getafe,69,0.8,0,0,0.2,0.1,3,3,6,4,1,73.5,4,4,4,4,0,4,0,57,1,16.7,32,33,1
rs SRB,Mihailo Ristić,"DF,MF",Celta Vigo,429,4.8,0,1,0.0,0.2,8,10,11,2,0,77.6,4,2,7,7,2,9,18,302,2,15.4,153,179,8
de GER,Lars Ritzka,"DF,MF",St. Pauli,922,10.2,1,0,0.4,0.2,8,21,34,8,1,71.5,5,5,49,29,11,60,41,567,0,0.0,161,263,10
es ESP,Gorka Rivera Alonso,"DF,MF",Getafe,20,0.2,0,0,0.0,0.0,0,1,0,0,0,45.5,0,0,2,0,0,2,0,17,0,0.0,5,5,1
es ESP,Sergi Roberto,MF,Como,696,7.7,0,1,0.7,0.7,10,36,19,6,1,90.3,15,6,14,8,9,23,14,582,3,30.0,340,429,7
sct SCO,Andrew Robertson,DF,Liverpool,2482,27.6,0,1,1.2,4.6,64,176,108,15,2,82.7,40,31,39,22,21,60,54,2084,7,38.9,1107,1399,11
us USA,Antonee Robinson,DF,Fulham,3167,35.2,0,10,0.7,4.2,118,131,274,16,2,76.8,43,56,95,61,62,157,133,2523,38,45.8,1343,1509,31
eng ENG,Jay Robinson,"MF,FW",Southampton,137,1.5,0,0,0.0,0.7,3,1,10,1,1,67.6,3,1,4,1,0,4,1,54,6,54.5,33,29,3
es ESP,Marc Roca,MF,Betis,906,10.1,2,2,1.1,1.0,11,59,13,12,4,86.4,12,6,20,14,14,34,14,632,4,80.0,385,427,16
es ESP,Rodri,MF,Manchester City,73,0.8,0,0,0.0,0.0,1,4,1,0,0,94.1,1,1,2,1,1,3,1,74,0,0.0,39,56,1
es ESP,Rodri,FW,Betis,118,1.3,0,0,0.2,0.1,4,8,11,2,2,84.8,2,5,2,1,1,3,1,86,2,33.3,57,63,2
es ESP,Adrian Rodriguez,GK,Alavés,122,1.4,0,0,0.0,0.0,0,0,0,0,0,38.0,0,0,0,0,0,0,3,58,0,,19,4,0
pt POR,Alejandro Rodriguez,MF,Lyon,20,0.2,0,0,0.0,0.0,0,0,1,0,0,50.0,0,0,0,0,0,0,0,8,0,,1,2,0
uy URU,Álvaro Rodríguez,FW,Getafe,852,9.5,2,0,1.2,0.3,6,13,50,25,10,46.0,5,2,10,7,3,13,12,415,16,48.5,186,300,30
es ESP,Óscar Rodríguez Arnaiz,"MF,FW",Leganés,1330,14.8,1,4,2.1,2.2,24,60,66,33,6,72.1,19,21,32,17,20,52,20,749,21,40.4,381,491,19
es ESP,Arturo Rodríguez,FW,Las Palmas,21,0.2,0,0,0.0,0.0,1,0,2,0,0,71.4,0,0,0,0,0,0,0,11,0,0.0,7,8,0
es ESP,Damián Rodríguez,MF,Celta Vigo,927,10.3,0,0,0.1,0.8,8,71,12,4,0,89.2,17,4,14,9,7,21,13,876,0,0.0,529,680,13
es ESP,Dani Rodríguez,"MF,FW",Mallorca,2162,24.0,4,7,2.8,3.1,37,78,108,31,10,69.7,33,17,49,29,12,61,30,971,16,47.1,512,611,51
es ESP,Daniel Rodriguez,FW,Barcelona,37,0.4,0,0,0.0,0.0,4,2,9,2,0,75.0,0,2,0,0,0,0,0,25,0,0.0,20,23,0
ar ARG,Guido Rodríguez,MF,West Ham,1149,12.8,0,1,0.2,0.2,4,33,7,8,1,84.4,4,1,36,19,13,49,35,709,3,50.0,327,408,18
co COL,James Rodríguez,"MF,FW",Rayo Vallecano,140,1.6,0,0,0.3,0.2,3,13,7,4,2,79.6,2,1,3,2,1,4,0,116,5,71.4,71,85,2
es ESP,Javi Rodríguez,DF,Celta Vigo,2514,27.9,3,2,2.3,1.0,29,114,51,12,5,86.7,13,10,53,38,33,86,96,1994,10,45.5,1187,1411,37
es ESP,Jesus Rodríguez,FW,Betis,1111,12.3,2,0,2.3,0.2,53,35,99,23,8,72.8,8,19,16,14,6,22,3,532,30,35.7,361,381,17
es ESP,Kirian Rodríguez,MF,Las Palmas,1758,19.5,0,3,1.6,1.5,25,128,39,21,8,85.2,16,14,33,17,10,43,21,1357,11,68.8,763,1027,9
ch SUI,Ricardo Rodríguez,DF,Betis,1274,14.2,0,1,0.2,0.4,19,63,32,5,1,82.0,7,8,28,15,8,36,51,866,4,57.1,434,498,12
br BRA,Rodrygo,"FW,MF",Real Madrid,1928,21.4,6,5,4.0,3.0,113,108,253,54,20,85.9,49,26,21,14,11,32,9,1340,49,44.1,889,1068,8
dk DEN,Mads Roerslev,DF,Brentford,1101,12.2,0,2,0.2,3.0,17,51,54,5,2,78.7,14,11,18,8,4,22,35,645,7,36.8,352,406,6
dk DEN,Mads Roerslev,DF,Wolfsburg,298,3.3,0,0,0.0,0.0,7,13,18,0,0,83.9,1,1,10,9,5,15,16,215,2,33.3,102,129,2
eng ENG,Morgan Rogers,"FW,MF",Aston Villa,3114,34.6,8,10,6.6,7.8,114,123,188,55,20,73.2,51,56,43,22,6,49,20,1362,66,41.3,794,956,50
de GER,Merlin Röhl,"MF,FW",Freiburg,965,10.7,0,1,0.8,1.7,20,22,60,12,3,76.0,9,4,16,10,6,22,2,403,12,30.0,217,256,21
it ITA,Alessio Romagnoli,DF,Lazio,2672,29.7,2,0,2.4,0.3,8,90,4,20,7,91.8,9,5,48,29,26,74,118,2042,1,33.3,1064,1371,29
es ESP,Leo Román,GK,Mallorca,630,7.0,0,0,0.0,0.0,0,0,0,0,0,57.1,0,0,0,0,0,0,6,279,1,100.0,124,122,0
es ESP,Carlos Romero,DF,Espanyol,2554,28.4,2,1,2.0,2.1,50,64,113,29,6,71.4,29,26,73,47,30,103,102,1366,22,42.3,593,656,34
ar ARG,Cristian Romero,DF,Tottenham,1416,15.7,1,0,1.6,0.6,12,71,3,16,8,89.5,7,8,35,29,21,56,57,1377,1,25.0,896,936,14
es ESP,Isaac Romero,FW,Sevilla,2156,24.0,4,2,6.8,2.1,21,29,95,53,17,70.3,20,11,13,7,7,20,27,751,21,32.3,382,520,38
ar ARG,Luka Romero,"FW,MF",Alavés,199,2.2,0,0,0.8,0.2,3,0,12,1,0,69.4,4,1,4,4,1,5,0,69,1,33.3,42,45,3
es ESP,Oriol Romeu,MF,Girona,1356,15.1,0,0,0.1,0.3,22,73,8,5,1,90.4,8,2,38,25,12,50,20,1032,4,50.0,600,782,28
fr FRA,Valentin Rongier,"MF,DF",Marseille,1562,17.4,3,1,1.0,1.1,25,110,28,14,7,90.3,11,7,50,28,33,83,28,1602,11,68.8,896,1226,37
nl NED,Marten de Roon,"MF,DF",Atalanta,3058,34.0,4,4,0.9,2.3,37,242,32,14,4,86.4,25,27,74,48,47,121,67,2538,6,46.2,1475,1754,48
br BRA,Vitor Roque,FW,Betis,1235,13.7,4,0,6.1,1.2,24,17,57,41,18,72.8,12,10,11,6,7,18,4,365,10,25.6,213,239,30
do DOM,Pablo Rosario,"MF,DF",Nice,1775,19.7,3,1,3.8,0.6,17,89,25,16,7,85.0,16,14,30,20,31,61,43,950,9,52.9,473,653,24
de GER,Lasse Rosenboom,DF,Holstein Kiel,1734,19.3,2,2,1.9,1.1,19,34,50,12,5,65.1,14,8,47,35,19,66,71,780,7,36.8,284,335,19
de GER,Max Rosenfelder,DF,Freiburg,1249,13.9,1,0,0.4,0.7,24,29,18,5,1,85.3,5,4,27,17,7,34,65,826,14,56.0,445,515,9
fr FRA,Valentin Rosier,DF,Leganés,2595,28.8,1,2,0.9,1.1,41,74,89,14,4,79.3,11,17,72,52,52,124,149,1615,23,51.1,746,802,44
de GER,Tom Rothe,"DF,MF",Union Berlin,1670,18.6,3,3,1.8,1.3,25,50,91,23,9,68.1,12,15,45,28,18,63,57,1074,5,25.0,456,522,25
fr FRA,Anthony Rouault,DF,Rennes,972,10.8,0,0,0.5,0.0,3,36,0,7,3,91.6,1,2,12,8,8,20,65,786,0,,485,557,7
fr FRA,Anthony Rouault,DF,Stuttgart,1212,13.5,1,0,0.5,0.3,6,52,4,5,1,90.0,6,1,15,11,19,34,63,1014,2,40.0,573,697,18
se SWE,Jonas Rouhi,DF,Juventus,210,2.3,0,0,0.0,0.0,1,9,7,0,0,79.2,0,0,4,1,3,7,2,192,2,40.0,84,118,4
fr FRA,Jérôme Roussillon,"DF,MF",Union Berlin,136,1.5,0,0,0.1,0.0,2,11,7,2,0,63.4,0,2,0,0,2,2,7,96,1,33.3,40,43,1
it ITA,Nicolò Rovella,MF,Lazio,2718,30.2,0,3,1.5,2.2,45,159,42,28,8,89.6,31,24,84,50,47,131,46,2354,18,72.0,1451,1749,43
eng ENG,Jon Rowe,"FW,MF",Marseille,807,9.0,3,3,3.5,4.5,30,31,96,36,15,80.1,18,14,15,11,2,17,4,438,20,41.7,294,342,14
xk KVX,Amir Rrahmani,DF,Napoli,3406,37.8,1,3,2.9,1.1,30,188,2,28,3,91.0,11,9,39,31,27,66,179,3152,4,66.7,1859,2254,42
it ITA,Tommaso Rubino,MF,Fiorentina,8,0.1,0,0,0.0,0.0,0,1,0,0,0,33.3,1,0,0,0,0,0,0,3,0,,3,1,1
de GER,Antonio Rüdiger,DF,Real Madrid,2291,25.5,0,0,1.7,0.5,20,94,4,24,4,91.8,7,6,20,13,9,29,96,2069,3,42.9,1373,1584,15
it ITA,Matteo Ruggeri,DF,Atalanta,1751,19.5,0,3,0.2,2.0,60,114,104,3,2,84.2,24,24,39,24,22,61,50,1479,6,54.5,785,973,12
es ESP,Aitor Ruibal,"DF,FW",Betis,1313,14.6,1,3,0.9,2.4,21,50,64,16,4,80.9,20,12,32,23,14,46,40,790,14,51.9,398,459,10
es ESP,Abel Ruiz,FW,Girona,1346,15.0,4,0,4.6,0.5,21,23,71,21,7,87.9,8,5,6,2,5,11,7,391,7,35.0,225,281,7
es ESP,Ferrán Ruiz,MF,Girona,18,0.2,0,0,0.0,0.0,0,1,0,0,0,50.0,0,0,0,0,1,1,0,9,0,,5,4,0
es ESP,Fabián Ruiz Peña,MF,Paris S-G,1923,21.4,4,5,4.3,4.7,47,205,92,43,12,89.6,36,36,37,24,16,53,27,1807,14,70.0,1037,1430,6
ar ARG,Gerónimo Rulli,GK,Marseille,3060,34.0,0,0,0.0,0.1,0,1,0,0,0,87.9,2,0,4,3,1,5,25,1300,0,,789,758,2
fr FRA,Georginio Rutter,"MF,FW",Brighton,1656,18.4,5,3,4.6,2.5,42,67,79,50,12,66.8,19,16,39,15,10,49,13,641,27,38.0,361,411,34
au AUS,Mathew Ryan,GK,Lens,1260,14.0,0,0,0.0,0.0,0,0,0,0,0,74.8,0,0,1,0,1,2,2,439,0,,273,200,0
no NOR,Julian Ryerson,DF,Dortmund,2259,25.1,2,3,0.7,4.5,66,92,136,18,5,85.3,36,31,46,30,22,68,26,1684,36,57.1,1002,1090,31
dk DEN,Frederik Rønnow,GK,Union Berlin,2520,28.0,0,0,0.1,0.0,0,1,0,1,0,68.6,0,3,0,0,0,0,22,980,1,100.0,564,425,0
pt POR,José Sá,GK,Wolves,2609,29.0,0,0,0.0,0.2,0,2,0,0,0,64.1,3,1,2,2,0,2,15,985,8,100.0,630,485,4
tn TUN,Elias Saad,"FW,MF",St. Pauli,900,10.0,3,2,2.8,0.8,29,27,76,26,8,76.2,14,14,20,13,3,23,1,427,16,29.6,301,319,17
sn SEN,Youssouf Sabaly,DF,Betis,1581,17.6,0,1,0.2,0.8,25,62,63,5,0,86.7,11,7,40,25,13,53,40,1170,8,40.0,620,680,18
us USA,Emmanuel Sabbi,"FW,MF",Le Havre,653,7.3,0,0,1.9,0.6,11,15,39,15,4,71.1,4,5,14,7,3,17,4,230,11,37.9,130,149,11
it ITA,Stefano Sabelli,DF,Genoa,2058,22.9,0,2,0.1,1.9,36,88,43,6,1,68.5,18,31,58,31,22,80,65,1428,4,30.8,641,759,25
at AUT,Marcel Sabitzer,MF,Dortmund,1616,18.0,1,0,1.8,1.6,24,97,70,21,8,84.8,12,12,29,19,10,39,29,1028,6,40.0,577,717,12
ml MLI,Falaye Sacko,DF,Montpellier,1233,13.7,0,1,0.0,0.2,21,59,34,0,0,83.6,7,2,14,8,13,27,21,734,2,22.2,371,421,15
ng NGA,Umar Sadiq,FW,Valencia,825,9.2,5,0,3.4,0.7,9,7,49,20,7,72.3,6,0,10,5,1,11,7,301,11,44.0,175,229,29
ng NGA,Umar Sadiq,FW,Real Sociedad,227,2.5,0,0,0.2,0.2,5,5,18,5,0,52.1,1,0,2,1,1,3,2,85,5,55.6,49,66,8
be BEL,Alexis Saelemaekers,"DF,FW",Roma,1389,15.4,7,3,2.5,2.6,39,53,136,25,12,81.5,24,22,33,20,9,42,8,945,22,42.3,582,709,13
be BEL,Alexis Saelemaekers,"DF,FW",Milan,90,1.0,0,0,0.0,0.1,7,4,13,0,0,84.6,2,1,1,1,1,2,0,81,0,,59,61,0
es ESP,Jorge Sáenz,DF,Leganés,1690,18.8,1,0,1.3,0.1,5,36,2,8,3,83.7,2,1,37,23,25,62,161,1181,4,57.1,579,687,30
ru RUS,Matvei Safonov,GK,Paris S-G,879,9.8,0,0,0.0,0.0,0,0,0,0,0,80.4,0,0,0,0,1,1,3,326,0,,203,181,0
ml MLI,Modibo Sagnan,DF,Montpellier,2141,23.8,2,0,0.7,0.6,13,51,3,11,3,88.6,6,3,57,35,29,86,110,1224,13,65.0,657,762,33
be BEL,Richie Sagrado,DF,Venezia,140,1.6,0,0,0.1,0.0,0,2,5,1,0,77.4,0,0,2,2,3,5,4,46,0,,21,24,2
ma MAR,Osame Sahraoui,"FW,MF",Lille,1293,14.4,3,3,2.9,3.6,69,89,159,23,8,83.9,29,41,13,9,7,20,8,804,35,44.3,535,631,8
fr FRA,Wesley Saïd,FW,Lens,905,10.1,3,0,3.2,1.0,16,24,53,17,7,77.8,9,12,16,11,2,18,2,325,9,47.4,185,239,22
fr FRA,Théo Sainte-Luce,DF,Montpellier,1018,11.3,1,0,1.0,0.8,19,22,33,8,4,74.1,8,8,24,11,12,36,33,490,12,60.0,199,237,8
eng ENG,Bukayo Saka,"FW,MF",Arsenal,1729,19.2,6,10,6.8,7.6,96,70,255,66,22,75.5,58,38,29,15,3,32,8,979,41,45.6,628,711,15
de GER,Faik Sakar,MF,RB Leipzig,1,0.0,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0
it ITA,Marco Sala,DF,Como,261,2.9,0,0,0.0,0.1,10,16,16,0,0,75.7,1,2,9,6,1,10,9,173,1,50.0,113,116,5
it ITA,Marco Sala,DF,Lecce,72,0.8,0,0,0.0,0.4,5,6,9,0,0,72.0,1,3,1,0,0,1,0,52,0,,32,37,1
ma MAR,Ibrahim Salah,FW,Brest,358,4.0,1,1,0.6,0.6,15,7,40,13,4,68.2,6,2,4,2,2,6,0,186,9,36.0,124,138,6
eg EGY,Mohamed Salah,FW,Liverpool,3371,37.5,29,18,25.2,14.2,154,144,488,121,50,70.6,88,93,21,11,9,30,5,1695,58,42.3,1149,1407,25
nl NED,Anass Salah-Eddine,DF,Roma,152,1.7,0,1,0.3,0.1,8,2,15,2,1,83.5,2,1,1,1,1,2,2,117,0,0.0,61,86,2
fr FRA,Amine Salama,FW,Reims,373,4.1,0,0,0.7,0.3,12,9,28,9,3,75.6,5,2,3,2,1,4,0,132,7,41.2,81,96,2
es ESP,Jan Salas,"MF,FW",Mallorca,43,0.5,0,0,0.1,0.0,1,4,4,2,0,76.9,0,1,3,1,0,3,0,32,0,,13,21,0
es ESP,Kike Salas,DF,Sevilla,2238,24.9,3,2,1.9,0.6,7,59,18,23,6,78.5,6,3,47,28,32,79,146,1710,3,60.0,717,1022,21
gr GRE,Manolis Saliakas,"MF,DF",St. Pauli,2314,25.7,2,1,1.5,2.6,28,93,80,29,6,71.8,26,31,46,22,20,66,62,1560,3,33.3,653,876,16
fr FRA,William Saliba,DF,Arsenal,3039,33.8,2,0,2.3,0.9,16,138,6,6,2,94.3,7,6,62,37,21,83,119,2824,12,63.2,1756,2137,28
gh GHA,Mohammed Salisu,DF,Monaco,1023,11.4,1,0,0.8,0.1,8,68,3,8,4,85.4,3,2,28,18,16,44,54,905,0,0.0,545,596,9
hu HUN,Roland Sallai,"FW,MF",Freiburg,46,0.5,0,0,0.1,0.1,4,3,2,3,1,64.7,1,0,2,1,1,3,0,25,0,0.0,16,18,0
gf GUF,Yoann Salmier,DF,Le Havre,797,8.9,0,0,0.8,0.2,7,24,1,5,2,81.8,2,1,14,7,10,24,59,462,4,80.0,205,236,8
rs SRB,Lazar Samardzic,MF,Atalanta,1169,13.0,2,1,2.0,2.9,54,92,99,33,12,77.9,35,30,21,15,2,23,6,867,27,45.0,573,658,19
ml MLI,Diadie Samassékou,MF,Hoffenheim,290,3.2,0,0,0.1,0.0,3,11,2,3,1,92.3,0,2,5,5,5,10,5,190,4,80.0,92,122,5
gw GNB,Mama Samba Baldé,FW,Lyon,33,0.4,0,0,0.1,0.0,1,1,2,1,0,66.7,0,0,2,2,1,3,1,15,0,0.0,7,9,1
gw GNB,Mama Samba Baldé,FW,Brest,1149,12.8,2,3,3.0,2.1,35,22,100,29,8,72.3,16,5,13,9,6,19,14,434,17,30.9,257,311,19
fr FRA,Brice Samba,GK,Rennes,1529,17.0,0,0,0.0,0.0,0,1,0,0,0,78.1,0,0,2,1,0,2,12,723,0,,404,375,0
fr FRA,Brice Samba,GK,Lens,1350,15.0,0,0,0.0,0.0,0,1,0,0,0,81.1,0,1,0,0,1,1,6,549,1,100.0,323,280,0
be BEL,Albert Sambi Lokonga,MF,Sevilla,1471,16.3,0,2,0.9,1.0,24,93,20,13,5,89.4,19,8,22,15,9,31,24,1018,4,40.0,533,746,22
fr FRA,Junior Sambia,"DF,FW",Empoli,387,4.3,0,0,0.4,0.3,5,21,20,10,1,68.1,6,9,14,10,2,16,5,244,7,36.8,105,113,6
es ESP,Chuky san jose,MF,Valladolid,728,8.1,2,0,2.2,1.2,6,15,27,16,7,68.7,8,5,8,2,0,8,4,232,4,44.4,107,145,3
py PAR,Antonio Sanabria,FW,Torino,1318,14.6,2,1,2.9,0.5,6,18,54,18,4,78.4,9,3,3,3,1,4,13,377,6,54.5,227,301,16
es ESP,Oihan Sancet,MF,Athletic Club,1620,18.0,15,1,9.7,1.9,52,90,115,47,17,81.0,21,15,13,8,5,18,6,767,24,48.0,464,610,16
cl CHI,Alexis Sánchez,FW,Udinese,437,4.9,0,0,0.8,0.2,2,19,19,7,0,76.7,3,5,3,1,4,7,1,211,4,57.1,121,161,4
es ESP,Antonio Sánchez,"MF,DF",Mallorca,1395,15.5,0,0,1.1,0.6,18,38,53,17,2,72.8,5,8,28,16,18,46,36,729,14,56.0,367,404,24
es ESP,Iván Sánchez,"MF,FW",Valladolid,1404,15.6,2,1,0.7,2.9,60,77,93,15,5,71.4,24,23,37,20,14,51,10,755,28,57.1,467,520,15
es ESP,Javi Sánchez,DF,Valladolid,2026,22.5,2,0,0.5,0.3,4,34,4,11,5,87.3,6,1,26,16,22,48,111,1387,2,100.0,720,968,19
es ESP,Juanlu Sánchez,"MF,DF",Sevilla,1722,19.1,4,4,2.1,2.8,44,68,83,13,6,81.5,24,14,50,34,17,67,19,884,11,39.3,427,558,18
es ESP,Manu Sánchez,DF,Alavés,2634,29.3,1,0,1.7,1.2,47,78,97,12,2,72.2,16,21,83,56,30,113,76,1477,8,21.6,562,627,56
es ESP,Robert Sánchez,GK,Chelsea,2880,32.0,0,0,0.0,0.1,0,1,0,0,0,69.7,2,1,0,0,2,2,24,1323,0,,881,822,2
eng ENG,Jadon Sancho,FW,Chelsea,1764,19.6,3,4,2.2,3.7,102,90,225,24,8,82.6,38,48,13,7,2,15,8,975,45,46.4,653,760,6
de GER,Philipp Sander,MF,Gladbach,1400,15.6,1,0,1.2,0.6,16,60,29,18,7,80.9,13,7,33,17,23,56,44,921,11,61.1,473,575,16
us USA,James Sands,"MF,DF",St. Pauli,453,5.0,0,0,0.1,0.0,0,16,6,1,0,76.0,1,3,15,6,5,20,8,259,1,100.0,119,152,11
de GER,Leroy Sané,FW,Bayern Munich,1637,18.2,11,5,10.2,5.5,75,64,266,67,29,82.5,36,35,23,15,7,30,3,1184,39,39.0,787,953,16
sn SEN,Arouna Sangante,DF,Le Havre,1244,13.8,3,0,1.0,0.1,11,48,3,7,4,87.1,3,3,25,16,21,46,65,949,5,83.3,546,625,22
ci CIV,Ibrahim Sangaré,MF,Nott'ham Forest,590,6.6,0,1,0.0,0.4,1,27,4,1,1,85.4,4,4,28,14,6,34,13,407,0,0.0,171,236,15
fr FRA,Nhoa Sangui,"DF,MF",Reims,1158,12.9,0,2,0.1,0.5,21,45,53,3,0,83.9,5,4,16,9,8,24,23,708,10,52.6,362,440,9
ma MAR,Maroan Sannadi,FW,Athletic Club,754,8.4,1,1,3.5,0.6,21,15,67,19,7,72.3,7,8,5,0,1,6,2,282,14,46.7,198,237,20
jp JPN,Kaishu Sano,MF,Mainz 05,3043,33.8,0,0,0.9,1.2,53,159,46,20,2,80.1,19,19,61,36,65,126,56,1814,32,62.7,894,1027,16
fr FRA,Morgan Sanson,MF,Nice,235,2.6,3,0,1.5,0.1,5,13,17,9,4,78.3,1,3,6,3,4,10,2,145,2,40.0,89,106,3
it ITA,Nicola Sansone,"MF,FW",Lecce,65,0.7,0,0,0.2,0.0,0,1,5,3,1,81.8,1,0,0,0,0,0,0,29,0,0.0,20,20,0
fr FRA,Baptiste Santamaria,MF,Nice,927,10.3,0,0,0.9,1.0,10,45,11,16,3,82.6,9,4,20,10,18,38,19,589,8,61.5,277,394,16
fr FRA,Baptiste Santamaria,MF,Rennes,482,5.4,0,1,0.1,0.3,3,28,9,4,1,82.5,4,4,11,4,12,23,7,377,1,20.0,198,256,5
es ESP,Jesús Santiago,MF,Getafe,372,4.1,0,0,0.0,0.0,4,16,4,1,0,72.8,0,0,14,8,1,15,3,184,1,14.3,97,97,14
br BRA,Andrey Santos,MF,Strasbourg,2855,31.7,10,3,5.1,3.3,29,149,26,46,16,88.2,27,15,110,74,32,142,67,1983,18,48.6,1015,1276,29
br BRA,Kauã Santos,GK,Eint Frankfurt,765,8.5,0,0,0.0,0.0,0,1,0,0,0,69.5,1,0,0,0,0,0,10,326,0,,191,153,0
pt POR,Tiago Santos,DF,Lille,404,4.5,0,0,0.4,0.6,24,17,43,8,4,78.5,5,8,12,7,2,14,4,285,12,57.1,191,206,6
es ESP,Pablo Sarabia,"MF,FW",Wolves,814,9.0,3,2,2.9,1.8,15,60,62,17,8,69.2,15,20,16,8,4,20,7,552,6,40.0,325,387,16
ec ECU,Jeremy Sarmiento,MF,Brighton,9,0.1,0,0,0.0,0.0,0,0,2,0,0,100.0,0,0,0,0,0,0,0,8,0,,6,7,0
se SWE,Amin Sarr,FW,Hellas Verona,1907,21.2,4,1,3.2,2.1,31,41,103,23,7,70.0,22,16,22,12,3,25,14,681,14,42.4,345,495,47
sn SEN,Ismaila Sarr,MF,Crystal Palace,2711,30.1,8,6,10.7,8.5,75,85,183,59,29,66.0,44,42,22,10,9,31,40,1091,17,27.9,607,739,14
fr FRA,Malang Sarr,DF,Lens,1385,15.4,0,0,0.3,0.3,4,54,1,6,1,89.4,5,2,21,13,22,43,63,1105,2,50.0,665,754,13
fr FRA,Mamadou Sarr,DF,Strasbourg,2365,26.3,0,1,0.8,0.3,7,52,1,5,0,93.8,5,1,37,21,25,62,117,1953,10,52.6,1241,1464,29
uy URU,Martin Satriano,"FW,DF",Lens,88,1.0,0,0,0.4,0.1,2,2,14,5,0,60.0,2,0,3,1,0,3,2,52,1,50.0,24,35,4
ro ROU,Razvan Sava,GK,Udinese,1080,12.0,0,0,0.0,0.0,0,0,0,0,0,70.1,0,0,0,0,0,0,6,423,0,,262,236,1
fr FRA,Téji Savanier,MF,Montpellier,2363,26.3,2,5,3.8,6.9,26,183,108,45,14,69.6,67,31,29,25,15,44,21,1748,27,40.3,909,1131,22
br BRA,Sávio,"FW,MF",Manchester City,1766,19.6,1,8,5.0,6.9,137,67,246,55,21,80.8,46,47,23,17,6,29,9,1095,52,46.0,783,852,17
it ITA,Nicolò Savona,DF,Juventus,1724,19.2,2,1,0.5,1.2,35,59,44,6,4,89.5,16,12,29,13,11,40,38,1227,6,54.5,778,869,13
ge GEO,Saba Sazonov,DF,Torino,3,0.0,0,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,,0,0,0
us USA,Joe Scally,DF,Gladbach,2578,28.6,0,0,0.4,1.1,52,68,69,6,1,83.4,11,15,45,32,16,61,86,1850,31,52.5,980,1163,23
it ITA,Giorgio Scalvini,DF,Atalanta,272,3.0,0,0,0.1,0.0,5,20,7,4,0,84.6,0,2,8,4,4,12,7,228,5,71.4,158,171,7
it ITA,Gianluca Scamacca,FW,Atalanta,6,0.1,0,0,0.1,0.0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,2,0,,2,2,0
eng ENG,Oliver Scarles,"DF,FW",West Ham,665,7.4,0,0,0.1,0.1,12,22,44,3,0,78.8,2,5,21,11,11,32,26,466,2,28.6,219,272,5
eng ENG,Dane Scarlett,"FW,MF",Tottenham,34,0.4,0,1,0.0,0.0,1,1,1,1,1,60.0,1,0,1,0,0,1,1,9,0,,5,4,0
de GER,Kevin Schade,FW,Brentford,2293,25.5,11,2,8.2,3.7,61,38,165,55,27,59.7,23,11,39,25,5,44,34,883,30,33.7,434,543,21
hu HUN,András Schäfer,MF,Union Berlin,1534,17.0,1,1,0.6,0.9,23,55,42,12,1,73.5,10,12,52,26,22,74,36,799,13,44.8,362,400,27
ch SUI,Fabian Schär,DF,Newcastle Utd,2934,32.6,4,0,3.7,0.4,18,118,22,40,11,83.7,5,13,36,21,45,81,138,2319,8,61.5,1438,1609,35
cz CZE,Patrik Schick,FW,Leverkusen,1684,18.7,21,0,12.7,0.6,7,21,107,68,32,78.0,11,6,6,5,4,10,17,578,10,38.5,312,452,24
de GER,Stefan Schimmer,"FW,MF",Heidenheim,247,2.7,0,0,1.1,0.3,0,3,15,10,2,60.4,4,2,2,0,0,2,4,84,0,0.0,38,48,2
be BEL,Joël Schingtienne,DF,Venezia,1122,12.5,0,0,0.0,0.1,5,28,4,0,0,86.2,3,2,27,16,14,41,25,611,5,55.6,299,320,7
at AUT,Xaver Schlager,MF,RB Leipzig,181,2.0,0,0,0.1,0.7,5,6,2,1,0,86.7,1,1,4,2,0,4,3,123,1,100.0,56,89,4
de GER,Keven Schlotterbeck,DF,Augsburg,1297,14.4,3,1,0.8,0.6,3,59,2,12,4,84.5,7,3,19,17,15,34,73,845,3,100.0,424,510,10
de GER,Nico Schlotterbeck,DF,Dortmund,1982,22.0,0,4,1.3,2.1,37,195,14,17,4,89.2,18,10,38,24,22,60,79,2297,14,63.6,1467,1674,18
gh GHA,Jeffrey Schlupp,"MF,DF",Crystal Palace,103,1.1,0,0,0.2,0.2,4,5,9,4,2,78.0,3,2,2,0,0,2,2,79,1,100.0,30,41,1
at AUT,Romano Schmid,MF,Werder Bremen,2834,31.5,5,4,4.3,6.2,107,279,201,47,13,74.5,68,90,43,25,11,54,9,1988,45,47.4,1315,1502,28
